Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : 92692 elements
Info    : Done reading '../results/t13/domain.msh'
Info    : Done reading '../results/t13/domain.msh'

	Heat conduction with two sinks (multiple) - Task Parallelism

> Path = ../results/t13
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.8396 | cstr = 1.3151 | nder = 5.6962 | steps =  0 | lagr = 1.8396 | lm = 0.0000 | mu = 0.0000
i =  59 | cost = 2.0508 | cstr = 0.9323 | nder = 5.6329 | steps = 12 | lagr = 9.7391 | lm = 8.2514 | mu = 8.3867
i =  60 | cost = 2.0651 | cstr = 0.9239 | nder = 5.5050 | steps = 11 | lagr = 9.6096 | lm = 8.1721 | mu = 8.3241
i =  61 | cost = 2.0787 | cstr = 0.9155 | nder = 5.3642 | steps = 11 | lagr = 9.4738 | lm = 8.0853 | mu = 8.2541
i =  62 | cost = 2.0941 | cstr = 0.9068 | nder = 5.2257 | steps = 12 | lagr = 9.3317 | lm = 7.9908 | mu = 8.1769
i =  63 | cost = 2.1058 | cstr = 0.8981 | nder = 5.0805 | steps = 12 | lagr = 9.1800 | lm = 7.8887 | mu = 8.0924
i =  64 | cost = 2.1166 | cstr = 0.8906 | nder = 4.9434 | steps = 11 | lagr = 9.0357 | lm = 7.7821 | mu = 8.0006
i =  65 | cost = 2.1271 | cstr = 0.8835 | nder = 4.8014 | steps = 12 | lagr = 8.8897 | lm = 7.6699 | mu = 7.9028
i =  66 | cost = 2.1406 | cstr = 0.8754 | nder = 4.6559 | steps = 12 | lagr = 8.7343 | lm = 7.5502 | mu = 7.7993
i =  67 | cost = 2.1506 | cstr = 0.8670 | nder = 4.5071 | steps = 12 | lagr = 8.5698 | lm = 7.4239 | mu = 7.6895
i =  68 | cost = 2.1584 | cstr = 0.8607 | nder = 4.3719 | steps = 12 | lagr = 8.4181 | lm = 7.2952 | mu = 7.5735
i =  69 | cost = 2.1661 | cstr = 0.8534 | nder = 4.2266 | steps = 12 | lagr = 8.2550 | lm = 7.1600 | mu = 7.4529
i =  70 | cost = 2.1704 | cstr = 0.8482 | nder = 4.0921 | steps = 13 | lagr = 8.1050 | lm = 7.0237 | mu = 7.3270
i =  71 | cost = 2.1789 | cstr = 0.8418 | nder = 3.9582 | steps = 12 | lagr = 7.9472 | lm = 6.8815 | mu = 7.1975
i =  72 | cost = 2.1858 | cstr = 0.8350 | nder = 3.8163 | steps = 12 | lagr = 7.7818 | lm = 6.7341 | mu = 7.0637
i =  73 | cost = 2.1890 | cstr = 0.8300 | nder = 3.6907 | steps = 12 | lagr = 7.6260 | lm = 6.5857 | mu = 6.9254
i =  74 | cost = 2.1941 | cstr = 0.8245 | nder = 3.5748 | steps = 13 | lagr = 7.4675 | lm = 6.4332 | mu = 6.7838
i =  75 | cost = 2.1937 | cstr = 0.8209 | nder = 3.4669 | steps = 13 | lagr = 7.3177 | lm = 6.2810 | mu = 6.6388
i =  76 | cost = 2.1922 | cstr = 0.8177 | nder = 3.3557 | steps = 13 | lagr = 7.1691 | lm = 6.1274 | mu = 6.4917
i =  77 | cost = 2.1918 | cstr = 0.8141 | nder = 3.2600 | steps = 11 | lagr = 7.0183 | lm = 5.9712 | mu = 6.3426
i =  78 | cost = 2.1915 | cstr = 0.8092 | nder = 3.1519 | steps = 12 | lagr = 6.8567 | lm = 5.8103 | mu = 6.1915
i =  79 | cost = 2.1846 | cstr = 0.8075 | nder = 3.0601 | steps = 12 | lagr = 6.7122 | lm = 5.6530 | mu = 6.0376
i =  80 | cost = 2.1834 | cstr = 0.8054 | nder = 2.9982 | steps = 12 | lagr = 6.5706 | lm = 5.4940 | mu = 5.8828
