Info    : Reading '../results/t10/domain.msh'...
Info    : 9 entities
Info    : 72857 nodes
Info    : 145712 elements
Info    : [  0%] Reading elements                                                                                Info    : [ 10%] Reading elements                                                                                Info    : [ 20%] Reading elements                                                                                Info    : [ 30%] Reading elements                                                                                Info    : [ 40%] Reading elements                                                                                Info    : [ 50%] Reading elements                                                                                Info    : [ 60%] Reading elements                                                                                Info    : [ 70%] Reading elements                                                                                Info    : [ 80%] Reading elements                                                                                Info    : [ 90%] Reading elements                                                                                                                                                                Info    : Done reading '../results/t10/domain.msh'

	Heat conduction 2 - Data Parallelism

> Path = ../results/t10
> Nbr of triangles = 144712
> Iterations:
i =   0 | cost = 0.1025 | cstr = 1.3405 | nder = 0.2571 | steps =  0 | lagr = 0.1025 | lm = 0.0000 | mu = 0.0000
i =  48 | cost = 0.1852 | cstr = 0.9762 | nder = 0.1879 | steps = 16 | lagr = 0.1696 | lm = 0.6299 | mu = 0.6775
i =  49 | cost = 0.1843 | cstr = 0.9740 | nder = 0.1829 | steps = 16 | lagr = 0.1679 | lm = 0.6030 | mu = 0.6549
i =  50 | cost = 0.1814 | cstr = 0.9738 | nder = 0.1783 | steps = 16 | lagr = 0.1655 | lm = 0.5778 | mu = 0.6302
i =  51 | cost = 0.1792 | cstr = 0.9738 | nder = 0.1752 | steps = 16 | lagr = 0.1641 | lm = 0.5530 | mu = 0.6054
i =  52 | cost = 0.1766 | cstr = 0.9747 | nder = 0.1715 | steps = 16 | lagr = 0.1625 | lm = 0.5300 | mu = 0.5806
i =  53 | cost = 0.1737 | cstr = 0.9760 | nder = 0.1695 | steps = 16 | lagr = 0.1609 | lm = 0.5087 | mu = 0.5566
i =  54 | cost = 0.1711 | cstr = 0.9769 | nder = 0.1670 | steps = 16 | lagr = 0.1593 | lm = 0.4878 | mu = 0.5339
i =  55 | cost = 0.1679 | cstr = 0.9789 | nder = 0.1625 | steps = 15 | lagr = 0.1575 | lm = 0.4700 | mu = 0.5121
i =  56 | cost = 0.1650 | cstr = 0.9806 | nder = 0.1597 | steps = 16 | lagr = 0.1558 | lm = 0.4535 | mu = 0.4922
i =  57 | cost = 0.1620 | cstr = 0.9826 | nder = 0.1571 | steps = 16 | lagr = 0.1540 | lm = 0.4391 | mu = 0.4740
i =  58 | cost = 0.1595 | cstr = 0.9844 | nder = 0.1543 | steps = 16 | lagr = 0.1526 | lm = 0.4264 | mu = 0.4575
i =  59 | cost = 0.1567 | cstr = 0.9870 | nder = 0.1529 | steps = 16 | lagr = 0.1511 | lm = 0.4169 | mu = 0.4429
i =  60 | cost = 0.1535 | cstr = 0.9897 | nder = 0.1471 | steps = 16 | lagr = 0.1492 | lm = 0.4100 | mu = 0.4306
i =  61 | cost = 0.1508 | cstr = 0.9916 | nder = 0.1446 | steps = 16 | lagr = 0.1474 | lm = 0.4042 | mu = 0.4209
i =  62 | cost = 0.1485 | cstr = 0.9937 | nder = 0.1416 | steps = 16 | lagr = 0.1460 | lm = 0.4005 | mu = 0.4131
i =  63 | cost = 0.1466 | cstr = 0.9951 | nder = 0.1392 | steps = 16 | lagr = 0.1446 | lm = 0.3974 | mu = 0.4072
i =  64 | cost = 0.1441 | cstr = 0.9974 | nder = 0.1362 | steps = 15 | lagr = 0.1431 | lm = 0.3973 | mu = 0.4026
i =  65 | cost = 0.1425 | cstr = 0.9985 | nder = 0.1355 | steps = 16 | lagr = 0.1419 | lm = 0.3971 | mu = 0.4001
i =  66 | cost = 0.1412 | cstr = 0.9992 | nder = 0.1334 | steps = 16 | lagr = 0.1409 | lm = 0.3970 | mu = 0.3987
i =  67 | cost = 0.1395 | cstr = 1.0000 | nder = 0.1310 | steps = 16 | lagr = 0.1395 | lm = 0.3979 | mu = 0.3979
i =  68 | cost = 0.1375 | cstr = 1.0007 | nder = 0.1285 | steps = 16 | lagr = 0.1378 | lm = 0.3992 | mu = 0.3979
i =  69 | cost = 0.1366 | cstr = 1.0007 | nder = 0.1275 | steps = 16 | lagr = 0.1368 | lm = 0.3999 | mu = 0.3985
