Info    : Reading '../results/t14/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t14/domain.msh'
> Iterations:
i =  58 | cost = -0.0206 | cstr = 0.9938 | nder = 0.0097 | steps = 16 | lagr = -0.0208 | lm = 0.0131 | mu = 0.0254
i =  59 | cost = -0.0210 | cstr = 1.0026 | nder = 0.0048 | steps = 16 | lagr = -0.0209 | lm = 0.0247 | mu = 0.0196
i =  60 | cost = -0.0210 | cstr = 1.0022 | nder = 0.0058 | steps = 16 | lagr = -0.0210 | lm = 0.0264 | mu = 0.0220
i =  61 | cost = -0.0211 | cstr = 0.9988 | nder = 0.0054 | steps = 16 | lagr = -0.0211 | lm = 0.0216 | mu = 0.0241
i =  62 | cost = -0.0213 | cstr = 0.9967 | nder = 0.0093 | steps = 16 | lagr = -0.0213 | lm = 0.0163 | mu = 0.0229
i =  63 | cost = -0.0216 | cstr = 1.0034 | nder = 0.0065 | steps = 16 | lagr = -0.0215 | lm = 0.0267 | mu = 0.0198
i =  64 | cost = -0.0218 | cstr = 0.9992 | nder = 0.0078 | steps = 15 | lagr = -0.0218 | lm = 0.0214 | mu = 0.0230
i =  65 | cost = -0.0221 | cstr = 1.0057 | nder = 0.0103 | steps = 16 | lagr = -0.0220 | lm = 0.0337 | mu = 0.0222
i =  66 | cost = -0.0222 | cstr = 0.9993 | nder = 0.0078 | steps = 16 | lagr = -0.0222 | lm = 0.0263 | mu = 0.0276
i =  67 | cost = -0.0225 | cstr = 0.9973 | nder = 0.0102 | steps = 16 | lagr = -0.0225 | lm = 0.0217 | mu = 0.0270
i =  68 | cost = -0.0229 | cstr = 1.0035 | nder = 0.0094 | steps = 16 | lagr = -0.0228 | lm = 0.0314 | mu = 0.0245
i =  69 | cost = -0.0232 | cstr = 1.0036 | nder = 0.0107 | steps = 16 | lagr = -0.0231 | lm = 0.0349 | mu = 0.0277
i =  70 | cost = -0.0236 | cstr = 0.9970 | nder = 0.0122 | steps = 16 | lagr = -0.0237 | lm = 0.0251 | mu = 0.0310
i =  71 | cost = -0.0244 | cstr = 1.0055 | nder = 0.0126 | steps = 16 | lagr = -0.0242 | lm = 0.0392 | mu = 0.0283
i =  72 | cost = -0.0251 | cstr = 1.0031 | nder = 0.0128 | steps = 16 | lagr = -0.0249 | lm = 0.0395 | mu = 0.0334
i =  73 | cost = -0.0255 | cstr = 0.9955 | nder = 0.0172 | steps = 16 | lagr = -0.0257 | lm = 0.0272 | mu = 0.0362
i =  74 | cost = -0.0268 | cstr = 1.0065 | nder = 0.0146 | steps = 16 | lagr = -0.0266 | lm = 0.0451 | mu = 0.0320
i =  75 | cost = -0.0281 | cstr = 1.0098 | nder = 0.0181 | steps = 16 | lagr = -0.0276 | lm = 0.0576 | mu = 0.0381
