Info    : Reading '../results/t09/domain.msh'...
Info    : 13 entities
Info    : 46692 nodes
Info    : 92622 elements
Info    : Done reading '../results/t09/domain.msh'

	Heat conduction 1 - Data Parallelism

> Path = ../results/t09
> Nbr of triangles = 92582
> Iterations:
i =  77 | cost = 4.1993 | cstr = 0.7185 | nder = 6.2110 | steps = 11 | lagr = 1.9055 | lm = 7.8684 | mu = 8.4307
i =  78 | cost = 4.2030 | cstr = 0.7116 | nder = 5.9074 | steps = 11 | lagr = 1.9115 | lm = 7.6566 | mu = 8.2329
i =  79 | cost = 4.2195 | cstr = 0.7017 | nder = 5.5786 | steps = 12 | lagr = 1.9122 | lm = 7.4369 | mu = 8.0329
i =  80 | cost = 4.2278 | cstr = 0.6932 | nder = 5.2620 | steps = 12 | lagr = 1.9195 | lm = 7.2166 | mu = 7.8297
i =  81 | cost = 4.2325 | cstr = 0.6874 | nder = 5.0195 | steps = 13 | lagr = 1.9466 | lm = 6.9994 | mu = 7.6240
i =  82 | cost = 4.2353 | cstr = 0.6810 | nder = 4.7845 | steps = 12 | lagr = 1.9707 | lm = 6.7794 | mu = 7.4169
i =  83 | cost = 4.2232 | cstr = 0.6760 | nder = 4.5274 | steps = 12 | lagr = 1.9927 | lm = 6.5608 | mu = 7.2081
i =  84 | cost = 4.2186 | cstr = 0.6721 | nder = 4.3370 | steps = 12 | lagr = 2.0314 | lm = 6.3431 | mu = 6.9982
i =  85 | cost = 4.2013 | cstr = 0.6691 | nder = 4.1275 | steps = 11 | lagr = 2.0646 | lm = 6.1263 | mu = 6.7874
i =  86 | cost = 4.1967 | cstr = 0.6648 | nder = 3.9558 | steps = 13 | lagr = 2.1047 | lm = 5.9064 | mu = 6.5762
i =  87 | cost = 4.1718 | cstr = 0.6623 | nder = 3.7683 | steps = 12 | lagr = 2.1366 | lm = 5.6893 | mu = 6.3641
i =  88 | cost = 4.1582 | cstr = 0.6606 | nder = 3.6377 | steps = 14 | lagr = 2.1855 | lm = 5.4734 | mu = 6.1516
i =  89 | cost = 4.1213 | cstr = 0.6611 | nder = 3.5120 | steps = 12 | lagr = 2.2233 | lm = 5.2617 | mu = 5.9389
i =  90 | cost = 4.0900 | cstr = 0.6601 | nder = 3.3770 | steps = 12 | lagr = 2.2591 | lm = 5.0474 | mu = 5.7265
i =  91 | cost = 4.0597 | cstr = 0.6610 | nder = 3.2940 | steps = 13 | lagr = 2.3052 | lm = 4.8368 | mu = 5.5141
i =  92 | cost = 4.0179 | cstr = 0.6645 | nder = 3.2233 | steps = 12 | lagr = 2.3513 | lm = 4.6318 | mu = 5.3022
i =  93 | cost = 4.0377 | cstr = 0.6677 | nder = 3.9144 | steps = 12 | lagr = 2.4562 | lm = 4.4273 | mu = 5.0913
i =  94 | cost = 3.9441 | cstr = 0.6714 | nder = 3.0817 | steps = 12 | lagr = 2.4481 | lm = 4.2248 | mu = 4.8813
i =  95 | cost = 3.9002 | cstr = 0.6752 | nder = 3.0447 | steps = 12 | lagr = 2.4881 | lm = 4.0237 | mu = 4.6725
i =  96 | cost = 3.8510 | cstr = 0.6805 | nder = 2.9882 | steps = 12 | lagr = 2.5264 | lm = 3.8265 | mu = 4.4649
i =  97 | cost = 3.8037 | cstr = 0.6865 | nder = 2.9385 | steps = 13 | lagr = 2.5667 | lm = 3.6325 | mu = 4.2589
i =  98 | cost = 3.7720 | cstr = 0.6924 | nder = 2.9395 | steps = 12 | lagr = 2.6193 | lm = 3.4403 | mu = 4.0548
i =  99 | cost = 3.7187 | cstr = 0.7005 | nder = 2.9191 | steps = 13 | lagr = 2.6544 | lm = 3.2542 | mu = 3.8526
i = 100 | cost = 3.6675 | cstr = 0.7063 | nder = 2.8998 | steps = 12 | lagr = 2.6807 | lm = 3.0662 | mu = 3.6530
i = 101 | cost = 3.6153 | cstr = 0.7162 | nder = 2.8986 | steps = 11 | lagr = 2.7151 | lm = 2.8885 | mu = 3.4556
i = 102 | cost = 3.5627 | cstr = 0.7260 | nder = 2.8900 | steps = 11 | lagr = 2.7441 | lm = 2.7143 | mu = 3.2617
