Info    : Reading '../results/t21/domain.msh'...
Info    : 17 entities
Info    : 11800 nodes
Info    : 23238 elements
Info    : Done reading '../results/t21/domain.msh'

	Heat conduction with four sources (single) - Data Parallelism

> Path = ../results/t21
> Nbr of triangles = 23206
> Iterations:
i =   0 | cost = 0.1946 | cstr = 1.5485 | nder = 0.6031 | steps =  0 | lagr = 0.1946 | lm = 0.0000 | mu = 0.0000
i =  54 | cost = 0.1479 | cstr = 0.9949 | nder = 0.0580 | steps = 16 | lagr = 0.1473 | lm = 0.1079 | mu = 0.1180
i =  55 | cost = 0.1474 | cstr = 0.9965 | nder = 0.0572 | steps = 15 | lagr = 0.1470 | lm = 0.1062 | mu = 0.1132
i =  56 | cost = 0.1471 | cstr = 0.9969 | nder = 0.0565 | steps = 16 | lagr = 0.1467 | lm = 0.1037 | mu = 0.1099
i =  57 | cost = 0.1467 | cstr = 0.9978 | nder = 0.0555 | steps = 16 | lagr = 0.1464 | lm = 0.1025 | mu = 0.1070
i =  58 | cost = 0.1464 | cstr = 0.9977 | nder = 0.0551 | steps = 16 | lagr = 0.1462 | lm = 0.1002 | mu = 0.1049
i =  59 | cost = 0.1461 | cstr = 0.9980 | nder = 0.0545 | steps = 16 | lagr = 0.1459 | lm = 0.0987 | mu = 0.1027
i =  60 | cost = 0.1456 | cstr = 1.0009 | nder = 0.0530 | steps = 16 | lagr = 0.1457 | lm = 0.1027 | mu = 0.1008
i =  61 | cost = 0.1451 | cstr = 1.0030 | nder = 0.0522 | steps = 16 | lagr = 0.1454 | lm = 0.1076 | mu = 0.1017
i =  62 | cost = 0.1448 | cstr = 1.0028 | nder = 0.0513 | steps = 16 | lagr = 0.1451 | lm = 0.1101 | mu = 0.1045
i =  63 | cost = 0.1444 | cstr = 1.0040 | nder = 0.0508 | steps = 16 | lagr = 0.1448 | lm = 0.1151 | mu = 0.1071
i =  64 | cost = 0.1443 | cstr = 1.0029 | nder = 0.0505 | steps = 15 | lagr = 0.1446 | lm = 0.1166 | mu = 0.1108
i =  65 | cost = 0.1442 | cstr = 1.0021 | nder = 0.0506 | steps = 16 | lagr = 0.1445 | lm = 0.1176 | mu = 0.1135
i =  66 | cost = 0.1442 | cstr = 1.0007 | nder = 0.0499 | steps = 16 | lagr = 0.1443 | lm = 0.1169 | mu = 0.1155
i =  67 | cost = 0.1440 | cstr = 1.0000 | nder = 0.0491 | steps = 16 | lagr = 0.1440 | lm = 0.1161 | mu = 0.1161
i =  68 | cost = 0.1439 | cstr = 0.9996 | nder = 0.0485 | steps = 16 | lagr = 0.1439 | lm = 0.1154 | mu = 0.1161
i =  69 | cost = 0.1438 | cstr = 0.9988 | nder = 0.0474 | steps = 16 | lagr = 0.1437 | lm = 0.1135 | mu = 0.1158
i =  70 | cost = 0.1437 | cstr = 0.9984 | nder = 0.0467 | steps = 16 | lagr = 0.1435 | lm = 0.1115 | mu = 0.1147
i =  71 | cost = 0.1435 | cstr = 0.9986 | nder = 0.0460 | steps = 16 | lagr = 0.1433 | lm = 0.1104 | mu = 0.1132
i =  72 | cost = 0.1433 | cstr = 0.9989 | nder = 0.0456 | steps = 16 | lagr = 0.1432 | lm = 0.1098 | mu = 0.1119
i =  73 | cost = 0.1431 | cstr = 0.9989 | nder = 0.0448 | steps = 16 | lagr = 0.1430 | lm = 0.1087 | mu = 0.1109
i =  74 | cost = 0.1430 | cstr = 0.9979 | nder = 0.0440 | steps = 16 | lagr = 0.1427 | lm = 0.1057 | mu = 0.1099
i =  75 | cost = 0.1427 | cstr = 0.9989 | nder = 0.0431 | steps = 16 | lagr = 0.1426 | lm = 0.1058 | mu = 0.1080
i =  76 | cost = 0.1424 | cstr = 0.9999 | nder = 0.0427 | steps = 16 | lagr = 0.1424 | lm = 0.1068 | mu = 0.1070
i =  77 | cost = 0.1423 | cstr = 1.0006 | nder = 0.0422 | steps = 15 | lagr = 0.1423 | lm = 0.1080 | mu = 0.1069
i =  78 | cost = 0.1422 | cstr = 1.0000 | nder = 0.0417 | steps = 16 | lagr = 0.1422 | lm = 0.1073 | mu = 0.1074
i =  79 | cost = 0.1421 | cstr = 0.9997 | nder = 0.0413 | steps = 16 | lagr = 0.1421 | lm = 0.1067 | mu = 0.1074
i =  80 | cost = 0.1419 | cstr = 0.9999 | nder = 0.0407 | steps = 16 | lagr = 0.1419 | lm = 0.1068 | mu = 0.1071
> Stopping condition reached!
> Assembly time = 7.583934923000015 s
> Resolution time = 15.235008393000044 s
