Info    : Reading '../results/t11/domain.msh'...
Info    : 9 entities
Info    : 11827 nodes
Info    : 23652 elements
Info    : Done reading '../results/t11/domain.msh'

	Heat conduction with one source - Data Parallelism

> Path = ../results/t11
> Nbr of triangles = 23252
> Iterations:
i =  94 | cost = 0.1148 | cstr = 0.9995 | nder = 0.0450 | steps = 15 | lagr = 0.1147 | lm = 0.0851 | mu = 0.0862
i =  95 | cost = 0.1146 | cstr = 0.9992 | nder = 0.0445 | steps = 16 | lagr = 0.1145 | lm = 0.0841 | mu = 0.0857
i =  96 | cost = 0.1144 | cstr = 0.9982 | nder = 0.0444 | steps = 16 | lagr = 0.1143 | lm = 0.0814 | mu = 0.0850
i =  97 | cost = 0.1141 | cstr = 0.9986 | nder = 0.0436 | steps = 16 | lagr = 0.1140 | lm = 0.0805 | mu = 0.0833
i =  98 | cost = 0.1139 | cstr = 0.9994 | nder = 0.0429 | steps = 16 | lagr = 0.1138 | lm = 0.0808 | mu = 0.0821
i =  99 | cost = 0.1135 | cstr = 1.0001 | nder = 0.0415 | steps = 16 | lagr = 0.1135 | lm = 0.0816 | mu = 0.0815
i = 100 | cost = 0.1132 | cstr = 1.0003 | nder = 0.0406 | steps = 16 | lagr = 0.1132 | lm = 0.0822 | mu = 0.0815
i = 101 | cost = 0.1131 | cstr = 1.0001 | nder = 0.0403 | steps = 15 | lagr = 0.1131 | lm = 0.0820 | mu = 0.0818
i = 102 | cost = 0.1129 | cstr = 1.0003 | nder = 0.0395 | steps = 15 | lagr = 0.1129 | lm = 0.0825 | mu = 0.0819
i = 103 | cost = 0.1127 | cstr = 1.0004 | nder = 0.0390 | steps = 16 | lagr = 0.1128 | lm = 0.0830 | mu = 0.0822
i = 104 | cost = 0.1126 | cstr = 0.9995 | nder = 0.0387 | steps = 16 | lagr = 0.1125 | lm = 0.0815 | mu = 0.0826
i = 105 | cost = 0.1124 | cstr = 0.9990 | nder = 0.0382 | steps = 16 | lagr = 0.1123 | lm = 0.0802 | mu = 0.0821
i = 106 | cost = 0.1122 | cstr = 0.9991 | nder = 0.0377 | steps = 16 | lagr = 0.1121 | lm = 0.0795 | mu = 0.0812
i = 107 | cost = 0.1120 | cstr = 0.9993 | nder = 0.0373 | steps = 16 | lagr = 0.1119 | lm = 0.0790 | mu = 0.0805
i = 108 | cost = 0.1118 | cstr = 1.0004 | nder = 0.0364 | steps = 16 | lagr = 0.1118 | lm = 0.0807 | mu = 0.0798
i = 109 | cost = 0.1114 | cstr = 1.0010 | nder = 0.0351 | steps = 16 | lagr = 0.1115 | lm = 0.0823 | mu = 0.0802
i = 110 | cost = 0.1113 | cstr = 1.0002 | nder = 0.0348 | steps = 16 | lagr = 0.1113 | lm = 0.0815 | mu = 0.0811
i = 111 | cost = 0.1112 | cstr = 0.9999 | nder = 0.0345 | steps = 16 | lagr = 0.1112 | lm = 0.0811 | mu = 0.0813
i = 112 | cost = 0.1111 | cstr = 1.0004 | nder = 0.0340 | steps = 16 | lagr = 0.1111 | lm = 0.0820 | mu = 0.0812
i = 113 | cost = 0.1110 | cstr = 0.9998 | nder = 0.0336 | steps = 16 | lagr = 0.1109 | lm = 0.0812 | mu = 0.0815
i = 114 | cost = 0.1108 | cstr = 0.9990 | nder = 0.0332 | steps = 16 | lagr = 0.1107 | lm = 0.0794 | mu = 0.0814
i = 115 | cost = 0.1107 | cstr = 0.9989 | nder = 0.0330 | steps = 16 | lagr = 0.1106 | lm = 0.0782 | mu = 0.0805
i = 116 | cost = 0.1106 | cstr = 0.9987 | nder = 0.0327 | steps = 14 | lagr = 0.1105 | lm = 0.0769 | mu = 0.0795
i = 117 | cost = 0.1105 | cstr = 0.9982 | nder = 0.0329 | steps = 15 | lagr = 0.1104 | lm = 0.0748 | mu = 0.0783
i = 118 | cost = 0.1103 | cstr = 0.9989 | nder = 0.0323 | steps = 16 | lagr = 0.1103 | lm = 0.0746 | mu = 0.0768
i = 119 | cost = 0.1102 | cstr = 0.9991 | nder = 0.0318 | steps = 15 | lagr = 0.1101 | lm = 0.0740 | mu = 0.0758
i = 120 | cost = 0.1099 | cstr = 0.9995 | nder = 0.0312 | steps = 15 | lagr = 0.1099 | lm = 0.0740 | mu = 0.0750
i = 121 | cost = 0.1096 | cstr = 1.0011 | nder = 0.0297 | steps = 16 | lagr = 0.1097 | lm = 0.0768 | mu = 0.0746
i = 122 | cost = 0.1096 | cstr = 1.0007 | nder = 0.0294 | steps = 16 | lagr = 0.1096 | lm = 0.0769 | mu = 0.0755
i = 123 | cost = 0.1095 | cstr = 0.9998 | nder = 0.0290 | steps = 16 | lagr = 0.1095 | lm = 0.0756 | mu = 0.0761
i = 124 | cost = 0.1094 | cstr = 0.9998 | nder = 0.0286 | steps = 15 | lagr = 0.1094 | lm = 0.0756 | mu = 0.0759
i = 125 | cost = 0.1093 | cstr = 0.9991 | nder = 0.0286 | steps = 15 | lagr = 0.1093 | lm = 0.0739 | mu = 0.0758
i = 126 | cost = 0.1093 | cstr = 0.9989 | nder = 0.0286 | steps = 16 | lagr = 0.1092 | lm = 0.0727 | mu = 0.0749
i = 127 | cost = 0.1091 | cstr = 0.9989 | nder = 0.0284 | steps = 16 | lagr = 0.1091 | lm = 0.0718 | mu = 0.0740
i = 128 | cost = 0.1090 | cstr = 0.9989 | nder = 0.0282 | steps = 16 | lagr = 0.1089 | lm = 0.0708 | mu = 0.0730
i = 129 | cost = 0.1089 | cstr = 0.9989 | nder = 0.0281 | steps = 16 | lagr = 0.1088 | lm = 0.0698 | mu = 0.0720
i = 130 | cost = 0.1088 | cstr = 0.9995 | nder = 0.0276 | steps = 16 | lagr = 0.1087 | lm = 0.0700 | mu = 0.0710
i = 131 | cost = 0.1086 | cstr = 1.0009 | nder = 0.0267 | steps = 15 | lagr = 0.1087 | lm = 0.0725 | mu = 0.0706
i = 132 | cost = 0.1085 | cstr = 1.0010 | nder = 0.0260 | steps = 16 | lagr = 0.1086 | lm = 0.0735 | mu = 0.0714
i = 133 | cost = 0.1083 | cstr = 1.0015 | nder = 0.0251 | steps = 16 | lagr = 0.1084 | lm = 0.0752 | mu = 0.0723
i = 134 | cost = 0.1081 | cstr = 1.0024 | nder = 0.0243 | steps = 15 | lagr = 0.1083 | lm = 0.0784 | mu = 0.0736
i = 135 | cost = 0.1081 | cstr = 1.0023 | nder = 0.0242 | steps = 16 | lagr = 0.1082 | lm = 0.0803 | mu = 0.0757
i = 136 | cost = 0.1080 | cstr = 1.0005 | nder = 0.0237 | steps = 16 | lagr = 0.1081 | lm = 0.0787 | mu = 0.0777
i = 137 | cost = 0.1080 | cstr = 0.9998 | nder = 0.0234 | steps = 15 | lagr = 0.1080 | lm = 0.0777 | mu = 0.0781
i = 138 | cost = 0.1080 | cstr = 0.9985 | nder = 0.0231 | steps = 16 | lagr = 0.1079 | lm = 0.0749 | mu = 0.0779
i = 139 | cost = 0.1079 | cstr = 0.9988 | nder = 0.0229 | steps = 16 | lagr = 0.1079 | lm = 0.0742 | mu = 0.0766
i = 140 | cost = 0.1079 | cstr = 0.9986 | nder = 0.0229 | steps = 16 | lagr = 0.1078 | lm = 0.0727 | mu = 0.0756
i = 141 | cost = 0.1078 | cstr = 0.9996 | nder = 0.0224 | steps = 16 | lagr = 0.1077 | lm = 0.0735 | mu = 0.0743
i = 142 | cost = 0.1077 | cstr = 0.9993 | nder = 0.0222 | steps = 16 | lagr = 0.1077 | lm = 0.0726 | mu = 0.0740
i = 143 | cost = 0.1077 | cstr = 0.9983 | nder = 0.0225 | steps = 16 | lagr = 0.1076 | lm = 0.0700 | mu = 0.0734
i = 144 | cost = 0.1076 | cstr = 0.9978 | nder = 0.0230 | steps = 16 | lagr = 0.1075 | lm = 0.0674 | mu = 0.0719
