Info    : Reading '../results/t18/domain.msh'...
Info    : 17 entities
Info    : 26396 nodes
Info    : 52283 elements
Info    : Done reading '../results/t18/domain.msh'

	Cantilever with two loads II - Data Parallelism

> Path = ../results/t18
> Nbr of triangles = 52155
> Iterations:
i =   0 | cost = 4.7432 | cstr = 1.2172 | nder = 12.0742 | steps =  0 | lagr = 4.7432 | lm = 0.0000 | mu = 0.0000
i =  55 | cost = 2.5514 | cstr = 0.9963 | nder = 0.7489 | steps = 15 | lagr = 2.5429 | lm = 2.2929 | mu = 2.3003
i =  56 | cost = 2.5593 | cstr = 0.9983 | nder = 3.6066 | steps = 15 | lagr = 2.5553 | lm = 2.2933 | mu = 2.2968
i =  57 | cost = 2.5665 | cstr = 0.9985 | nder = 0.6157 | steps = 16 | lagr = 2.5630 | lm = 2.2922 | mu = 2.2952
i =  58 | cost = 2.5570 | cstr = 0.9981 | nder = 0.4660 | steps = 16 | lagr = 2.5527 | lm = 2.2900 | mu = 2.2938
i =  59 | cost = 2.5448 | cstr = 1.0011 | nder = 0.4317 | steps = 16 | lagr = 2.5473 | lm = 2.2942 | mu = 2.2920
i =  60 | cost = 2.5447 | cstr = 1.0004 | nder = 0.4436 | steps = 16 | lagr = 2.5457 | lm = 2.2939 | mu = 2.2930
i =  61 | cost = 2.5395 | cstr = 1.0015 | nder = 0.4722 | steps = 16 | lagr = 2.5429 | lm = 2.2964 | mu = 2.2934
i =  62 | cost = 2.5419 | cstr = 1.0005 | nder = 0.5969 | steps = 16 | lagr = 2.5429 | lm = 2.2957 | mu = 2.2948
i =  63 | cost = 2.5519 | cstr = 1.0008 | nder = 0.6192 | steps = 16 | lagr = 2.5537 | lm = 2.2968 | mu = 2.2952
i =  64 | cost = 2.5457 | cstr = 0.9992 | nder = 0.4473 | steps = 15 | lagr = 2.5439 | lm = 2.2943 | mu = 2.2960
i =  65 | cost = 2.5394 | cstr = 0.9999 | nder = 0.3977 | steps = 16 | lagr = 2.5392 | lm = 2.2950 | mu = 2.2952
i =  66 | cost = 2.5389 | cstr = 0.9994 | nder = 0.3783 | steps = 16 | lagr = 2.5375 | lm = 2.2938 | mu = 2.2951
i =  67 | cost = 2.5343 | cstr = 1.0006 | nder = 0.3669 | steps = 16 | lagr = 2.5357 | lm = 2.2957 | mu = 2.2945
i =  68 | cost = 2.5361 | cstr = 0.9996 | nder = 0.3655 | steps = 16 | lagr = 2.5351 | lm = 2.2942 | mu = 2.2951
i =  69 | cost = 2.5358 | cstr = 0.9996 | nder = 0.3662 | steps = 16 | lagr = 2.5348 | lm = 2.2938 | mu = 2.2947
i =  70 | cost = 2.5345 | cstr = 0.9996 | nder = 0.3594 | steps = 16 | lagr = 2.5336 | lm = 2.2934 | mu = 2.2943
i =  71 | cost = 2.5341 | cstr = 0.9996 | nder = 0.3567 | steps = 16 | lagr = 2.5332 | lm = 2.2931 | mu = 2.2939
i =  72 | cost = 2.5348 | cstr = 0.9992 | nder = 0.3620 | steps = 16 | lagr = 2.5330 | lm = 2.2919 | mu = 2.2935
i =  73 | cost = 2.5355 | cstr = 0.9989 | nder = 0.3687 | steps = 16 | lagr = 2.5330 | lm = 2.2906 | mu = 2.2928
i =  74 | cost = 2.5338 | cstr = 0.9994 | nder = 0.3687 | steps = 16 | lagr = 2.5326 | lm = 2.2906 | mu = 2.2917
i =  75 | cost = 2.5340 | cstr = 0.9995 | nder = 0.3733 | steps = 16 | lagr = 2.5329 | lm = 2.2903 | mu = 2.2912
i =  76 | cost = 2.5347 | cstr = 0.9988 | nder = 0.3690 | steps = 16 | lagr = 2.5320 | lm = 2.2885 | mu = 2.2908
i =  77 | cost = 2.5314 | cstr = 1.0001 | nder = 0.3637 | steps = 15 | lagr = 2.5317 | lm = 2.2900 | mu = 2.2897
i =  78 | cost = 2.5324 | cstr = 0.9999 | nder = 0.3678 | steps = 16 | lagr = 2.5321 | lm = 2.2896 | mu = 2.2899
i =  79 | cost = 2.5326 | cstr = 0.9996 | nder = 0.3709 | steps = 16 | lagr = 2.5317 | lm = 2.2890 | mu = 2.2897
> Stopping condition reached!
> Assembly time = 8.49493374099984 s
> Resolution time = 71.46446521799999 s
